Results for dataset: examples/data/A Machine Learning-Based Classification and Prediction Technique for DDoS Attacks/test.csv
Accuracy: 0.84761
Total Final Rules: 1302
Rules Pruned (<= 1): 1880

--- Top Active Rules ---
Rule0_Class6: Used 5248, Errors 0 (0.00%)
Rule3174_Class5: Used 5224, Errors 0 (0.00%)
Rule2375_Class6: Used 974, Errors 1 (0.10%)
Rule202_Class7: Used 668, Errors 3 (0.45%)
Rule2994_Class3: Used 274, Errors 4 (1.46%)
Rule2147_Class6: Used 237, Errors 5 (2.11%)
Rule2703_Class6: Used 226, Errors 1 (0.44%)
Rule2402_Class6: Used 193, Errors 2 (1.04%)
Rule1945_Class2_&_Rule1946_Class2_&_Rule1947_Class2_&_Rule1948_Class2_&_Rule1949_Class2_&_Rule1944_Class2_&_Rule1950_Class2_&_Rule1951_Class2_&_Rule1952_Class2_&_Rule1953_Class2_&_Rule1954_Class2_&_Rule1955_Class2_&_Rule1957_Class2_&_Rule1958_Class2_&_Rule1959_Class2_&_Rule1956_Class2_&_Rule1960_Class2_&_Rule1961_Class2_&_Rule1962_Class2_&_Rule1963_Class2_&_Rule1964_Class2_&_Rule1965_Class2_&_Rule1966_Class2_&_Rule1967_Class2_&_Rule1971_Class2_&_Rule1972_Class2_&_Rule1973_Class2_&_Rule1974_Class2_&_Rule1968_Class2_&_Rule1969_Class2_&_Rule1970_Class2_&_Rule1943_Class2_&_Rule1940_Class2_&_Rule1941_Class2_&_Rule1939_Class2_&_Rule1942_Class2: Used 191, Errors 121 (63.35%)
Rule2512_Class6: Used 161, Errors 5 (3.11%)
Rule2124_Class6: Used 152, Errors 4 (2.63%)
Rule2027_Class5: Used 151, Errors 0 (0.00%)
Rule2423_Class6: Used 127, Errors 5 (3.94%)
Rule1771_Class6: Used 126, Errors 1 (0.79%)
Rule2369_Class4: Used 118, Errors 3 (2.54%)
Rule2658_Class6: Used 113, Errors 9 (7.96%)
Rule1510_Class4: Used 104, Errors 2 (1.92%)
Rule2705_Class6: Used 99, Errors 1 (1.01%)
Rule3230_Class2_&_Rule3231_Class2_&_Rule3232_Class2_&_Rule3234_Class2_&_Rule3235_Class2_&_Rule3233_Class2_&_Rule3236_Class2_&_Rule3237_Class2_&_Rule3238_Class2_&_Rule3240_Class2_&_Rule3241_Class2_&_Rule3239_Class2_&_Rule3242_Class2: Used 97, Errors 55 (56.70%)
Rule2188_Class6: Used 94, Errors 2 (2.13%)
Rule2791_Class3: Used 87, Errors 0 (0.00%)
Rule1733_Class6: Used 83, Errors 0 (0.00%)
Rule3041_Class3: Used 79, Errors 1 (1.27%)
Rule2260_Class6: Used 77, Errors 4 (5.19%)
Rule3048_Class3: Used 76, Errors 2 (2.63%)
